,Education,Income,Kidhome,Teenhome,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Customer_For,Age,Spent,Living_With,Children,Family_Size,Is_Parent,Clusters
0,0,58138.0,0,0,58,635,88,546,172,88,88,3,8,10,4,7,971,64,1617,0,0,1,0,3
1,0,46344.0,1,1,38,11,1,6,2,1,6,2,1,1,2,5,125,67,27,0,2,3,1,2
2,0,71613.0,0,0,26,426,49,127,111,21,42,1,8,2,10,4,472,56,776,1,0,2,0,3
3,0,26646.0,1,0,26,11,4,20,10,3,5,2,2,0,4,6,65,37,53,1,1,3,1,1
4,1,58293.0,1,0,94,173,43,118,46,27,15,5,5,3,6,5,321,40,422,1,1,3,1,2
5,1,62513.0,0,1,16,520,42,98,0,42,14,2,6,4,10,6,453,54,716,1,1,3,1,2
6,0,55635.0,0,1,34,235,65,164,50,49,27,4,7,3,7,6,753,50,590,0,1,2,1,0
7,1,33454.0,1,0,32,76,10,56,3,1,23,2,4,0,4,8,488,36,169,1,1,3,1,1
8,1,30351.0,1,0,19,14,0,24,3,3,2,1,3,0,2,9,548,47,46,1,1,3,1,1
9,1,5648.0,1,1,68,28,0,6,1,1,13,1,1,0,0,20,268,71,49,1,2,4,1,2
11,2,7500.0,0,0,59,6,16,11,11,1,16,1,2,0,3,8,753,45,61,1,0,2,0,1
12,0,63033.0,0,0,82,194,61,480,225,112,30,1,3,4,8,2,386,62,1102,0,0,1,0,3
13,1,59354.0,1,1,53,233,2,53,3,5,14,3,6,1,5,6,386,69,310,0,2,3,1,2
14,0,17323.0,0,0,38,3,14,17,6,1,5,1,1,0,3,8,787,34,46,1,0,2,0,1
15,1,82800.0,0,0,23,1006,22,115,59,68,45,1,7,6,12,3,742,75,1315,0,0,1,0,3
16,0,41850.0,1,1,51,53,5,19,2,13,4,3,3,0,3,8,712,41,96,1,2,4,1,2
17,0,37760.0,0,0,20,84,5,38,150,12,28,2,4,1,6,7,827,75,317,1,0,2,0,1
18,1,76995.0,0,1,91,1012,80,498,0,16,176,2,11,4,9,5,618,72,1782,1,1,3,1,0
19,2,33812.0,1,0,86,4,17,19,30,24,39,2,2,1,3,6,1000,36,133,0,1,2,1,1
20,0,37040.0,0,0,41,86,2,73,69,38,48,1,4,2,5,8,850,39,316,1,0,2,0,1
21,0,2447.0,1,0,42,1,1,1725,1,1,1,15,0,28,0,1,553,42,1730,1,1,3,1,0
